Semana,Epic,Tarea,Tipo,DoD,Estimado_horas,Estado,Vence
W1,Fundamentos,"Instalar Node LTS, pnpm/npm, VS Code, GitHub y Vercel CLI",Setup/Study,Todo instalado y versionado; `vercel --version` y `node -v` funcionan,0.5,To Do,
W1,Fundamentos,Mini-API en Node con endpoint /health,Code,Servidor corre en localhost y responde 200 con JSON,1.5,To Do,
W1,Fundamentos,Agregar llamada HTTP externa y manejo de errores,Code,"Función con `async/await`, try/catch y tests pasan",1.0,To Do,
W1,Fundamentos,Migrar a TypeScript y crear tsconfig.json,Code,Build/transpile OK; sin `any` implícitos,1.0,To Do,
W1,Fundamentos,Configurar Vitest y crear 3 tests de utilidades,Code,3 tests verdes en CI local,1.0,To Do,
W1,Fundamentos,Escribir README de setup y scripts,Ship,README con pasos reproducibles,0.5,To Do,
W2,React→Next.js,"Repasar React (componentes, props/estado, hooks básicos)",Study,Notas personales + ejemplo mínimo,1.0,To Do,
W2,React→Next.js,Crear proyecto Next.js (App Router),Code,Proyecto corre en dev y build OK,0.5,To Do,
W2,React→Next.js,"Implementar layout, ruta y loading (RSC + Suspense)",Code,Rutas anidadas + fallback de loading funcional,1.0,To Do,
W2,React→Next.js,CRUD de notas con Server Actions (sin API REST),Code,Crear/editar/borrar/listar funciona; no hay fetch manual,2.0,To Do,
W2,React→Next.js,Revalidación de caché post-mutation,Code,Lista se actualiza inmediatamente tras crear/editar,0.5,To Do,
W2,React→Next.js,Deploy a Vercel,Ship,URL pública en producción,0.5,To Do,
W2,React→Next.js,Checklist de rutas y acciones,Review,Checklist marcada en el repo,0.3,To Do,
W3,Datos/Auth/Tests,Provisionar Postgres (Vercel u otro proveedor),Setup,Credenciales seguras y tabla inicial creada,0.8,To Do,
W3,Datos/Auth/Tests,Conectar Next.js a Postgres y definir esquema de notas,Code,CRUD persiste en DB,1.5,To Do,
W3,Datos/Auth/Tests,Migrar datos en memoria a Postgres,Code,Datos previos disponibles en DB,0.8,To Do,
W3,Datos/Auth/Tests,Configurar Auth.js con GitHub/Google,Code,Login social funciona; session disponible,1.2,To Do,
W3,Datos/Auth/Tests,Proteger rutas con middleware y server components,Code,Rutas privadas redirigen sin sesión,0.8,To Do,
W3,Datos/Auth/Tests,Tests unitarios (Vitest) para CRUD,Code,Cobertura básica y verdes,0.8,To Do,
W3,Datos/Auth/Tests,E2E con Playwright para login + CRUD,Code,Flujo completo validado,1.2,To Do,
W3,Datos/Auth/Tests,Configurar CI (GitHub Actions) para tests/build,Ship,Pipeline corre en PR y main,0.7,To Do,
W4,Vercel Ops,Revisar funciones Edge/Serverless y regiones,Study,Notas + decisión de runtime por endpoint,0.8,To Do,
W4,Vercel Ops,Configurar variables de entorno y secretos,Setup,Sin secretos en código; `vercel env pull` funciona,0.6,To Do,
W4,Vercel Ops,Agregar función programada (cron) para resumen/archivado,Code,Cron corre en prod; logs visibles,1.2,To Do,
W4,Vercel Ops,Observar logs y métricas básicas,Review,Eventos clave identificados,0.5,To Do,
W4,Vercel Ops,Escribir Runbook de operación,Ship,Procedimientos de rollback y despliegue,0.8,To Do,
W5,AI SDK + v0,"Leer docs de AI SDK (streaming, tool-calling)",Study,Checklist de features con ejemplos,0.8,To Do,
W5,AI SDK + v0,Implementar endpoint/chat con streaming,Code,Tokens llegan en tiempo real,1.5,To Do,
W5,AI SDK + v0,Crear tool para alta de lead/nota,Code,Tool probada con casos típicos,0.8,To Do,
W5,AI SDK + v0,Generar UI de lista+form con v0 y adaptar,Code,Pantalla usable integrada,1.0,To Do,
W5,AI SDK + v0,Grabar demo de 2 minutos,Ship,Video subido y linkeado en README,0.4,To Do,
W6,Workflow DevKit,Instalar Workflow y hacer Hello World,Setup,Comando/paquete en repo; ejemplo corre,0.6,To Do,
W6,Workflow DevKit,Definir workflow con 3 steps (parse→IA→notify),Code,Estados visibles por ejecución,1.5,To Do,
W6,Workflow DevKit,Forzar fallo y manejar RetryableError,Code,Reintento automático comprobado,0.8,To Do,
W6,Workflow DevKit,Documentar decisiones y trade-offs,Review,README con diagrama simple,0.5,To Do,
W7,Capstone,Definir alcance y arquitectura (ADR corto),Ship,ADR en repo con riesgos y métricas,0.8,To Do,
W7,Capstone,Implementar pipeline end-to-end (Next.js + AI SDK + Workflow),Code,Caso real funciona en prod,3.0,To Do,
W7,Capstone,Deploy final y checklist de calidad,Review,Checklist marcada (DoD),0.7,To Do,
W7,Capstone,Video final 5–7 min + README,Ship,Links en portada del repo,0.8,To Do,
